,ds,y
0,2009-07-14,36560.13703538225
1,2009-07-15,36636.55403538225
2,2009-07-16,37063.25260434777
3,2009-07-17,37225.50960434776
4,2009-07-18,32892.69960434776
5,2009-07-19,29293.791604347763
6,2009-07-20,35490.28860434775
7,2009-07-21,35262.45560434777
8,2009-07-22,35679.966604347755
9,2009-07-23,36616.935604347746
10,2009-07-24,37043.65760434776
11,2009-07-25,33639.69653564549
12,2009-07-26,29861.630535645472
13,2009-07-27,36151.24853564548
14,2009-07-28,35706.72453564547
15,2009-07-29,35768.21599999999
16,2009-07-30,36236.247
17,2009-07-31,36942.123999999996
18,2009-08-01,32163.03999999999
19,2009-08-02,28444.865999999984
20,2009-08-03,29670.323999999986
21,2009-08-04,35306.015
22,2009-08-05,36303.554000000004
23,2009-08-06,37433.87
24,2009-08-07,36569.065062500005
25,2009-08-08,33337.225062499994
26,2009-08-09,29767.657062500002
27,2009-08-10,36492.44906250001
28,2009-08-11,36991.4920625
29,2009-08-12,36977.27661422414
30,2009-08-13,37124.50161422415
31,2009-08-14,37796.74661422413
32,2009-08-15,34194.06061422413
33,2009-08-16,29874.080614224134
34,2009-08-17,36184.63261422413
35,2009-08-18,36968.495614224135
36,2009-08-19,37722.419225335245
37,2009-08-20,37524.08822533524
38,2009-08-21,37316.72922533524
39,2009-08-22,33683.248225335235
40,2009-08-23,29962.889225335242
41,2009-08-24,35170.90122533525
42,2009-08-25,36233.56822533526
43,2009-08-26,36632.65322533524
44,2009-08-27,37065.74322533525
45,2009-08-28,36489.98922533523
46,2009-08-29,32539.05122533525
47,2009-08-30,29212.61622533525
48,2009-08-31,36359.19222533525
49,2009-09-01,35837.14822533524
50,2009-09-02,35602.030225335235
51,2009-09-03,35874.40822533524
52,2009-09-04,36910.04722533526
53,2009-09-05,32809.292225335244
54,2009-09-06,29571.553225335254
55,2009-09-07,35654.419225335245
56,2009-09-08,36649.551225335264
57,2009-09-09,35309.45296217735
58,2009-09-10,36832.40396217734
59,2009-09-11,36692.86796217736
60,2009-09-12,32784.28696217736
61,2009-09-13,29737.11796217735
62,2009-09-14,35863.058962177354
63,2009-09-15,35584.04796217735
64,2009-09-16,35507.85696217736
65,2009-09-17,36115.37996217736
66,2009-09-18,36504.879962177365
67,2009-09-19,33276.89796217735
68,2009-09-20,29597.335962177338
69,2009-09-21,36010.5385418875
70,2009-09-22,35754.410541887504
71,2009-09-23,36401.16654188749
72,2009-09-24,37050.6455418875
73,2009-09-25,37684.95654188749
74,2009-09-26,33715.02054188749
75,2009-09-27,30002.256541887495
76,2009-09-28,36483.1455287296
77,2009-09-29,36333.74952872961
78,2009-09-30,36415.7715287296
79,2009-10-01,37382.945528729615
80,2009-10-02,37962.0835287296
81,2009-10-03,33524.109528729605
82,2009-10-04,29252.863528729606
83,2009-10-05,36205.1475287296
84,2009-10-06,37386.25652872962
85,2009-10-07,37135.59852872961
86,2009-10-08,37534.86652872961
87,2009-10-09,38369.79252872959
88,2009-10-10,33561.889528729596
89,2009-10-11,30041.78052872961
90,2009-10-12,36137.89652872961
91,2009-10-13,37049.7895287296
92,2009-10-14,37030.87160481657
93,2009-10-15,37835.61560481655
94,2009-10-16,37312.52118992296
95,2009-10-17,33458.22718992294
96,2009-10-18,30352.22918992294
97,2009-10-19,37303.522189922944
98,2009-10-20,37724.767189922946
99,2009-10-21,37283.89018992294
100,2009-10-22,37987.30118992294
101,2009-10-23,37610.07718992295
102,2009-10-24,33221.379189922955
103,2009-10-25,31067.25818992293
104,2009-10-26,30679.763189922935
105,2009-10-27,37299.56818992295
106,2009-10-28,37533.958189922945
107,2009-10-29,38838.495189922956
108,2009-10-30,38750.01218992294
109,2009-10-31,33822.45018992294
110,2009-11-01,30554.59318992294
111,2009-11-02,37735.08418992294
112,2009-11-03,38311.64718992294
113,2009-11-04,38853.64018992294
114,2009-11-05,39157.352189922945
115,2009-11-06,39550.149189922944
116,2009-11-07,34058.41118992295
117,2009-11-08,30819.773189922933
118,2009-11-09,38927.28718992295
119,2009-11-10,39082.709189922934
120,2009-11-11,39724.93018992294
121,2009-11-12,40713.55018992294
122,2009-11-13,40349.78818992295
123,2009-11-14,35338.79518992295
124,2009-11-15,32277.790189922933
125,2009-11-16,39191.56518992294
126,2009-11-17,40461.59216611341
127,2009-11-18,40159.69816611342
128,2009-11-19,40264.44916611344
129,2009-11-20,38878.08016611342
130,2009-11-21,35445.55916611341
131,2009-11-22,32229.70116611342
132,2009-11-23,38877.72016611342
133,2009-11-24,39658.035933030704
134,2009-11-25,39993.45944795608
135,2009-11-26,41095.954447956094
