ds,y
2010-03-07,110827.596655546
2010-03-08,114517.010655547
2010-03-09,114302.846655547
2010-03-10,114567.938486355
2010-03-11,113153.157486355
2010-03-12,111446.44191789
2010-03-13,111425.13191789
2010-03-14,105934.94891789
2010-03-15,111057.827430185
2010-03-16,112550.180462838
2010-03-17,105011.532462838
2010-03-18,108769.731462838
2010-03-19,107736.431857999
2010-03-20,107756.956857999
2010-03-21,105024.300857999
2010-03-22,106150.809834095
2010-03-23,108671.318552002
2010-03-24,105505.313552002
2010-03-25,106606.401246446
2010-03-26,104031.189246446
2010-03-27,103979.210246447
2010-03-28,96833.3172464467
2010-03-29,108278.688246446
2010-03-30,113001.964499255
2010-03-31,110656.305554139
2010-04-01,106420.654036805
2010-04-02,106895.410036805
2010-04-03,105693.274036805
2010-04-04,102206.112036805
2010-04-05,100996.495036805
2010-04-06,104384.206161553
2010-04-07,102575.808339732
2010-04-08,101625.934339732
2010-04-09,99263.5445850849
2010-04-10,97100.9115850848
2010-04-11,94014.8245850848
2010-04-12,96033.1805850848
2010-04-13,96188.0511244521
2010-04-14,96976.7343641528
2010-04-15,96637.798139737
2010-04-16,95063.8902175149
2010-04-17,95503.3979113135
2010-04-18,95474.3999113134
2010-04-19,96174.9712159728
2010-04-20,97313.8822159729
2010-04-21,97806.3313405281
2010-04-22,96919.1597057761
2010-04-23,95193.4714584266
2010-04-24,99282.8984584267
2010-04-25,95175.9744584266
2010-04-26,95435.4124584266
2010-04-27,98789.8909942705
2010-04-28,96506.6949942708
2010-04-29,95800.0556966928
2010-04-30,96275.5579518651
2010-05-01,96441.3779017331
2010-05-02,93263.2529017331
2010-05-03,94724.558901733
2010-05-04,98563.293105815
2010-05-05,98865.1178515776
2010-05-06,97324.6218515776
2010-05-07,96745.8964913079
2010-05-08,94940.3204913082
2010-05-09,93835.8664913082
2010-05-10,96744.5064913085
2010-05-11,97784.8338288475
2010-05-12,96691.9348288478
2010-05-13,96789.6998288473
2010-05-14,95080.7451413477
2010-05-15,94563.6310838764
2010-05-16,92375.1800838761
2010-05-17,94278.4760838763
2010-05-18,97725.9076363917
2010-05-19,94325.2176363918
2010-05-20,92343.8239751013
2010-05-21,92436.5699815323
2010-05-22,91266.0440085593
2010-05-23,87110.2140085594
2010-05-24,90921.5510085595
2010-05-25,90710.2830085596
2010-05-26,90382.3183499465
2010-05-27,92151.1793499462
2010-05-28,92077.0240703546
2010-05-29,94521.7540703548
2010-05-30,91261.5318141048
2010-05-31,94594.5685430767
2010-06-01,91878.8479995988
2010-06-02,91383.5150057905
2010-06-03,90528.0335582598
2010-06-04,89226.8201705673
2010-06-05,88317.6041705673
2010-06-06,85643.365170567
2010-06-07,91191.6541705671
2010-06-08,95187.5027298379
2010-06-09,95661.7605510499
2010-06-10,92721.8901099622
2010-06-11,91988.8424352636
2010-06-12,91494.6994352636
2010-06-13,91208.1674352636
2010-06-14,92031.4155984576
2010-06-15,90684.0886609579
2010-06-16,90733.553660958
2010-06-17,90395.9008473481
2010-06-18,90546.4588473484
2010-06-19,88169.1208473484
2010-06-20,85272.0588473484
2010-06-21,89654.5537684009
2010-06-22,90686.748768401
2010-06-23,91679.0535881686
2010-06-24,90279.2435881683
2010-06-25,91077.8505505962
2010-06-26,89016.2558330168
2010-06-27,87429.9008330171
2010-06-28,92179.013833017
