,ds,y
0,2009-07-14,29409.592109959554
1,2009-07-15,28983.13017164178
2,2009-07-16,28251.521171641805
3,2009-07-17,27226.23217164178
4,2009-07-18,14791.830171641794
5,2009-07-19,9681.125171641781
6,2009-07-20,26216.16017164177
7,2009-07-21,29770.866171641803
8,2009-07-22,28337.71617164179
9,2009-07-23,28132.993171641807
10,2009-07-24,27084.238171641795
11,2009-07-25,14730.669171641795
12,2009-07-26,9656.426171641791
13,2009-07-27,25440.650171641802
14,2009-07-28,27732.745171641804
15,2009-07-29,27225.024171641802
16,2009-07-30,26550.183171641806
17,2009-07-31,26601.73017164181
18,2009-08-01,13946.562171641795
19,2009-08-02,9181.446171641785
20,2009-08-03,9833.47417164179
21,2009-08-04,26351.384171641785
22,2009-08-05,26733.945171641786
23,2009-08-06,26854.519171641798
24,2009-08-07,25068.77517164182
25,2009-08-08,14277.5231716418
26,2009-08-09,9523.197171641794
27,2009-08-10,25715.108171641798
28,2009-08-11,28079.15117164177
29,2009-08-12,28715.407171641804
30,2009-08-13,27686.49917164178
31,2009-08-14,26951.98517164179
32,2009-08-15,14781.670171641788
33,2009-08-16,9572.780171641789
34,2009-08-17,26337.43917164177
35,2009-08-18,28880.66117164176
36,2009-08-19,29176.388171641796
37,2009-08-20,28908.629171641816
38,2009-08-21,26558.047933456553
39,2009-08-22,14148.27393345653
40,2009-08-23,9599.942534239315
41,2009-08-24,27343.03553423931
42,2009-08-25,28442.698534239316
43,2009-08-26,29080.60553423929
44,2009-08-27,29030.7615342393
45,2009-08-28,27617.310772424582
46,2009-08-29,14705.490772424575
47,2009-08-30,9674.310772424571
48,2009-08-31,28586.439772424572
49,2009-09-01,30736.37777242457
50,2009-09-02,31392.14977242456
51,2009-09-03,30101.435772424597
52,2009-09-04,28268.666865267896
53,2009-09-05,15009.069865267902
54,2009-09-06,9995.353865267907
55,2009-09-07,27606.69486526791
56,2009-09-08,30974.330865267882
57,2009-09-09,29488.290865267903
58,2009-09-10,29139.385865267905
59,2009-09-11,28111.883865267875
60,2009-09-12,14798.798865267885
61,2009-09-13,10057.811865267893
62,2009-09-14,27594.983865267917
63,2009-09-15,30208.635865267916
64,2009-09-16,29822.6608652679
65,2009-09-17,29469.590264485105
66,2009-09-18,28094.976264485133
67,2009-09-19,15415.685264485115
68,2009-09-20,10295.139264485122
69,2009-09-21,28979.485264485134
70,2009-09-22,30397.048171641785
71,2009-09-23,30877.457171641796
72,2009-09-24,30436.540171641813
73,2009-09-25,28451.030171641793
74,2009-09-26,15092.787171641778
75,2009-09-27,9973.914171641785
76,2009-09-28,29153.25517164179
77,2009-09-29,31100.84617164176
78,2009-09-30,30894.918171641813
79,2009-10-01,31252.98217164177
80,2009-10-02,29224.29717164181
81,2009-10-03,15169.16517164178
82,2009-10-04,10234.715171641792
83,2009-10-05,29969.274171641795
84,2009-10-06,33410.97017164182
85,2009-10-07,32969.751171641794
86,2009-10-08,32815.83317164179
87,2009-10-09,32755.255171641802
88,2009-10-10,16939.81817164178
89,2009-10-11,11169.344171641791
90,2009-10-12,31211.139171641786
91,2009-10-13,33848.24617164178
92,2009-10-14,32682.733171641794
93,2009-10-15,32538.882171641802
94,2009-10-16,31056.938171641785
95,2009-10-17,16121.227171641789
96,2009-10-18,10981.362171641802
97,2009-10-19,32436.48617164177
98,2009-10-20,35287.078171641755
99,2009-10-21,34486.52217164176
100,2009-10-22,33979.27117164179
101,2009-10-23,31767.555171641794
102,2009-10-24,17126.959171641793
103,2009-10-25,11488.827171641791
104,2009-10-26,12490.32417164179
105,2009-10-27,33836.28517164177
106,2009-10-28,32969.08717164177
107,2009-10-29,33999.1521716418
108,2009-10-30,31604.60417164177
109,2009-10-31,16430.7671716418
110,2009-11-01,11262.062171641805
111,2009-11-02,34140.3961716418
112,2009-11-03,36472.010171641785
113,2009-11-04,37514.81217164176
114,2009-11-05,37092.89917164179
115,2009-11-06,35252.17117164178
116,2009-11-07,19554.00317164179
117,2009-11-08,13081.477171641793
118,2009-11-09,38274.82617164181
119,2009-11-10,38065.744171641796
120,2009-11-11,39740.24417164184
121,2009-11-12,38598.6961716418
122,2009-11-13,36913.20017164178
123,2009-11-14,19975.822171641787
124,2009-11-15,13608.720171641802
125,2009-11-16,37481.63417164177
126,2009-11-17,39555.63217164177
127,2009-11-18,38468.6821716418
128,2009-11-19,37675.3141716418
129,2009-11-20,33921.49017164179
130,2009-11-21,19523.008171641803
131,2009-11-22,13262.922171641794
132,2009-11-23,37711.060999999994
133,2009-11-24,39658.52000000003
134,2009-11-25,40428.668
135,2009-11-26,39949.93500000002
136,2009-11-27,39093.58699999997
137,2009-11-28,21488.640999999996
138,2009-11-29,14380.10699999999
139,2009-11-30,41386.39199999997
140,2009-12-01,45232.89500000001
141,2009-12-02,42853.097999999976
142,2009-12-03,42969.13499999996
143,2009-12-04,41561.801999999996
144,2009-12-05,21457.832000000002
145,2009-12-06,14942.435999999994
146,2009-12-07,41861.927
147,2009-12-08,42677.08899999997
148,2009-12-09,40748.37599999999
149,2009-12-10,42093.05900000001
150,2009-12-11,38678.696000000054
151,2009-12-12,21510.94099999999
152,2009-12-13,15603.324000000004
153,2009-12-14,43722.18599999999
154,2009-12-15,43655.319000000025
155,2009-12-16,44151.95199999998
156,2009-12-17,43670.60399999998
157,2009-12-18,42592.85900000002
158,2009-12-19,22441.705999999984
159,2009-12-20,16422.882
160,2009-12-21,44308.71799999997
161,2009-12-22,45192.976999999984
162,2009-12-23,34920.19899999999
163,2009-12-24,18715.69599999999
164,2009-12-25,12927.54799999999
165,2009-12-26,12128.815999999993
166,2009-12-27,12357.200999999995
167,2009-12-28,15266.768999999997
168,2009-12-29,22378.770000000022
169,2009-12-30,23671.738999999972
170,2009-12-31,20182.293000000012
171,2010-01-01,14022.16200000001
172,2010-01-02,16797.694000000003
173,2010-01-03,15118.963999999987
174,2010-01-04,43970.43700000002
175,2010-01-05,46099.65
176,2010-01-06,46006.092000000004
177,2010-01-07,45313.801000000014
178,2010-01-08,44739.08500000001
179,2010-01-09,25601.266999999993
180,2010-01-10,19038.724999999988
181,2010-01-11,44932.962999999996
182,2010-01-12,47792.56100000001
183,2010-01-13,47477.95100000003
184,2010-01-14,46419.46100000001
185,2010-01-15,43265.55399999999
186,2010-01-16,23542.04699999999
187,2010-01-17,17493.420000000002
