,ds,y
0,2009-07-14,0.0
1,2009-07-15,0.0
2,2009-07-16,0.0
3,2009-07-17,0.0
4,2009-07-18,0.0
5,2009-07-19,0.0
6,2009-07-20,0.0
7,2009-07-21,0.0
8,2009-07-22,0.0
9,2009-07-23,0.0
10,2009-07-24,0.0
11,2009-07-25,0.0
12,2009-07-26,0.0
13,2009-07-27,0.0
14,2009-07-28,0.0
15,2009-07-29,0.0
16,2009-07-30,0.0
17,2009-07-31,0.0
18,2009-08-01,0.0
19,2009-08-02,0.0
20,2009-08-03,0.0
21,2009-08-04,0.0
22,2009-08-05,0.0
23,2009-08-06,0.0
24,2009-08-07,0.0
25,2009-08-08,0.0
26,2009-08-09,0.0
27,2009-08-10,0.0
28,2009-08-11,0.0
29,2009-08-12,0.0
30,2009-08-13,0.0
31,2009-08-14,0.0
32,2009-08-15,0.0
33,2009-08-16,0.0
34,2009-08-17,0.0
35,2009-08-18,0.0
36,2009-08-19,0.0
37,2009-08-20,0.0
38,2009-08-21,0.0
39,2009-08-22,0.0
40,2009-08-23,0.0
41,2009-08-24,0.0
42,2009-08-25,0.0
43,2009-08-26,0.0
44,2009-08-27,0.0
45,2009-08-28,0.0
46,2009-08-29,0.0
47,2009-08-30,0.0
48,2009-08-31,0.0
49,2009-09-01,0.0
50,2009-09-02,0.0
51,2009-09-03,0.0
52,2009-09-04,0.0
53,2009-09-05,0.0
54,2009-09-06,0.0
55,2009-09-07,0.0
56,2009-09-08,0.0
57,2009-09-09,0.0
58,2009-09-10,0.0
59,2009-09-11,0.0
60,2009-09-12,0.0
61,2009-09-13,0.0
62,2009-09-14,0.0
63,2009-09-15,0.0
64,2009-09-16,0.0
65,2009-09-17,0.0
66,2009-09-18,0.0
67,2009-09-19,0.0
68,2009-09-20,0.0
69,2009-09-21,0.0
70,2009-09-22,0.0
71,2009-09-23,0.0
72,2009-09-24,0.0
73,2009-09-25,0.0
74,2009-09-26,0.0
75,2009-09-27,0.0
76,2009-09-28,0.0
77,2009-09-29,0.0
78,2009-09-30,0.0
79,2009-10-01,0.0
80,2009-10-02,0.0
81,2009-10-03,0.0
82,2009-10-04,0.0
83,2009-10-05,0.0
84,2009-10-06,0.0
85,2009-10-07,0.0
86,2009-10-08,0.0
87,2009-10-09,0.0
