,ds,y
71,2009-09-23,49868.225250718424
72,2009-09-24,49745.919080459695
73,2009-09-25,50737.651080459684
74,2009-09-26,61109.63108045964
75,2009-09-27,62778.17208045969
76,2009-09-28,51208.53808045963
77,2009-09-29,50807.189734726635
78,2009-09-30,50983.035734726654
79,2009-10-01,50887.64473472667
80,2009-10-02,53184.501734726626
81,2009-10-03,63217.94473472667
82,2009-10-04,65124.81373472659
83,2009-10-05,51703.302734726756
84,2009-10-06,52194.56273472662
85,2009-10-07,52157.97073472665
86,2009-10-08,50638.8137347267
87,2009-10-09,54089.56773472666
88,2009-10-10,62438.152734726544
89,2009-10-11,63897.21973472658
90,2009-10-12,52191.19173472657
91,2009-10-13,51991.20973472661
92,2009-10-14,51979.06800788573
93,2009-10-15,51839.57100788575
94,2009-10-16,53130.786007885756
95,2009-10-17,63048.660007885635
96,2009-10-18,66361.17100788571
97,2009-10-19,54981.29500788586
98,2009-10-20,53079.0350078858
99,2009-10-21,54041.71698073086
100,2009-10-22,52554.539980731046
101,2009-10-23,54689.68398073085
102,2009-10-24,63324.78898073096
103,2009-10-25,67820.06698073087
104,2009-10-26,63287.54298073108
105,2009-10-27,57364.595980730905
106,2009-10-28,55929.74998073094
107,2009-10-29,56361.98298073092
108,2009-10-30,58501.69398073096
109,2009-10-31,64991.36798073096
110,2009-11-01,70048.28398073089
111,2009-11-02,56585.32598073088
112,2009-11-03,56249.23898073097
113,2009-11-04,56456.87398073101
114,2009-11-05,56219.61698073094
115,2009-11-06,58329.071980731045
116,2009-11-07,70442.34298073081
117,2009-11-08,70607.03298073095
118,2009-11-09,58126.67298073091
119,2009-11-10,56167.21998073102
120,2009-11-11,57751.24498073085
121,2009-11-12,56821.42298073098
122,2009-11-13,59046.505980731075
123,2009-11-14,69655.36998073103
124,2009-11-15,71585.32098073093
125,2009-11-16,58166.33998073084
126,2009-11-17,57519.52998073111
127,2009-11-18,58680.01898073087
128,2009-11-19,58116.67098073094
129,2009-11-20,58406.53898073086
130,2009-11-21,69142.12098073078
131,2009-11-22,72914.86098073091
132,2009-11-23,58531.52598073099
133,2009-11-24,61271.985980730926
134,2009-11-25,58513.727980730866
135,2009-11-26,57346.48498073098
136,2009-11-27,60558.50198073099
137,2009-11-28,72548.88598073104
138,2009-11-29,75194.78498073106
139,2009-11-30,60822.00398073109
140,2009-12-01,60578.372980730936
141,2009-12-02,59451.946980730834
142,2009-12-03,58974.380980730886
143,2009-12-04,60820.78398073088
144,2009-12-05,72779.30898073086
145,2009-12-06,73435.56598073091
146,2009-12-07,61441.15498073103
147,2009-12-08,61856.99298073092
148,2009-12-09,60669.08098073099
149,2009-12-10,59511.264980731
150,2009-12-11,61347.83570739756
151,2009-12-12,72219.25899982567
152,2009-12-13,76404.64899982582
153,2009-12-14,64840.10399982581
154,2009-12-15,62256.38399982585
155,2009-12-16,63098.817999825864
156,2009-12-17,62297.42299982575
157,2009-12-18,65683.71999982593
158,2009-12-19,78227.01799982575
159,2009-12-20,80694.51999982585
160,2009-12-21,69466.95099982581
161,2009-12-22,69782.870366867
162,2009-12-23,75491.30736686697
163,2009-12-24,87320.41999982586
164,2009-12-25,93185.31099982564
165,2009-12-26,80118.90899982577
166,2009-12-27,77943.57599982563
167,2009-12-28,76135.77899982575
168,2009-12-29,76556.8629998258
169,2009-12-30,75641.89899982602
170,2009-12-31,76808.56899982583
171,2010-01-01,78596.73599982583
172,2010-01-02,76818.50999982572
173,2010-01-03,79990.42999982563
174,2010-01-04,70418.2439998257
175,2010-01-05,68970.47899982567
176,2010-01-06,69578.50299982574
177,2010-01-07,68801.00799982574
178,2010-01-08,69737.6609998257
179,2010-01-09,80718.76399982595
180,2010-01-10,84124.93999982589
181,2010-01-11,68868.4249998258
182,2010-01-12,67550.05099982576
183,2010-01-13,63305.509999825765
184,2010-01-14,60965.77399982588
185,2010-01-15,61936.69599982587
186,2010-01-16,71304.30399982598
187,2010-01-17,73485.02499982573
188,2010-01-18,59135.04699982565
189,2010-01-19,59653.599999825834
190,2010-01-20,57978.304999825894
191,2010-01-21,58744.44599982569
